id,name,hour,day,month,year,hod,dow,average,measurement_count,parameter,parameterId,displayName,unit,first_datetime,last_datetime
10869,Geelong South,,,2020-11-01,,,,0.12491039426523301,558,co,8,CO,ppm,2020-11-01T06:00:00Z,2020-12-01T00:00:00Z
10869,Geelong South,,,2020-11-01,,,,0.00043180035650623895,561,so2,9,SO₂,ppm,2020-11-01T06:00:00Z,2020-12-01T00:00:00Z
10869,Geelong South,,,2020-11-01,,,,0.01927426024955436,561,o3,10,O₃,ppm,2020-11-01T06:00:00Z,2020-12-01T00:00:00Z
10869,Geelong South,,,2020-12-01,,,,19.96663793103448,580,pm10,1,PM10,µg/m³,2020-12-01T02:00:00Z,2021-01-01T00:00:00Z
10869,Geelong South,,,2020-12-01,,,,4.751172413793102,580,pm25,2,PM2.5,µg/m³,2020-12-01T02:00:00Z,2021-01-01T00:00:00Z
10869,Geelong South,,,2020-12-01,,,,0.002703179297597031,541,no2,7,NO₂,ppm,2020-12-01T02:00:00Z,2021-01-01T00:00:00Z
10869,Geelong South,,,2020-12-01,,,,0.09116451016635868,541,co,8,CO,ppm,2020-12-01T02:00:00Z,2021-01-01T00:00:00Z
10869,Geelong South,,,2020-12-01,,,,0.000909408502772644,541,so2,9,SO₂,ppm,2020-12-01T02:00:00Z,2021-01-01T00:00:00Z
10869,Geelong South,,,2020-12-01,,,,0.0152994727272727,550,o3,10,O₃,ppm,2020-12-01T02:00:00Z,2021-01-01T00:00:00Z
10869,Geelong South,,,2021-01-01,,,,23.168507718696358,583,pm10,1,PM10,µg/m³,2021-01-01T01:00:00Z,2021-02-01T00:00:00Z
10869,Geelong South,,,2021-01-01,,,,5.605046875000001,640,pm25,2,PM2.5,µg/m³,2021-01-01T01:00:00Z,2021-02-01T00:00:00Z
10869,Geelong South,,,2021-01-01,,,,0.0027106557377048982,610,no2,7,NO₂,ppm,2021-01-01T01:00:00Z,2021-02-01T00:00:00Z
10869,Geelong South,,,2021-01-01,,,,0.10113114754098353,610,co,8,CO,ppm,2021-01-01T01:00:00Z,2021-02-01T00:00:00Z
10869,Geelong South,,,2021-01-01,,,,0.007006861063464787,583,so2,9,SO₂,ppm,2021-01-01T01:00:00Z,2021-01-30T08:00:00Z
10869,Geelong South,,,2021-01-01,,,,0.015235557377049139,610,o3,10,O₃,ppm,2021-01-01T01:00:00Z,2021-02-01T00:00:00Z
10869,Geelong South,,,2021-02-01,,,,21.73912175648703,501,pm10,1,PM10,µg/m³,2021-02-02T01:00:00Z,2021-02-27T03:00:00Z
10869,Geelong South,,,2021-02-01,,,,5.036227272727274,440,pm25,2,PM2.5,µg/m³,2021-02-02T01:00:00Z,2021-02-27T03:00:00Z
10869,Geelong South,,,2021-02-01,,,,0.004642105263157856,475,no2,7,NO₂,ppm,2021-02-02T06:00:00Z,2021-02-27T03:00:00Z
10869,Geelong South,,,2021-02-01,,,,0.10113924050632893,474,co,8,CO,ppm,2021-02-02T06:00:00Z,2021-02-27T03:00:00Z
10869,Geelong South,,,2021-02-01,,,,0.00013062365591397855,465,so2,9,SO₂,ppm,2021-02-02T16:00:00Z,2021-02-27T03:00:00Z
10869,Geelong South,,,2021-02-01,,,,0.015072589473684176,475,o3,10,O₃,ppm,2021-02-02T06:00:00Z,2021-02-27T03:00:00Z
10869,Geelong South,,,2021-03-01,,,,19.060018115942064,552,pm10,1,PM10,µg/m³,2021-03-01T02:00:00Z,2021-03-31T20:00:00Z
10869,Geelong South,,,2021-03-01,,,,5.233472727272727,550,pm25,2,PM2.5,µg/m³,2021-03-01T02:00:00Z,2021-03-31T20:00:00Z
10869,Geelong South,,,2021-03-01,,,,0.004784351145038142,524,no2,7,NO₂,ppm,2021-03-01T02:00:00Z,2021-03-31T20:00:00Z
10869,Geelong South,,,2021-03-01,,,,0.11159003831417623,522,co,8,CO,ppm,2021-03-01T02:00:00Z,2021-03-31T20:00:00Z
10869,Geelong South,,,2021-03-01,,,,4.3001912045889106e-05,523,so2,9,SO₂,ppm,2021-03-01T02:00:00Z,2021-03-31T20:00:00Z
10869,Geelong South,,,2021-03-01,,,,0.015105305343511411,524,o3,10,O₃,ppm,2021-03-01T02:00:00Z,2021-03-31T20:00:00Z
10869,Geelong South,,,2021-04-01,,,,19.9258181818182,275,pm10,1,PM10,µg/m³,2021-04-01T18:00:00Z,2021-04-30T14:00:00Z
10869,Geelong South,,,2021-04-01,,,,6.792525252525257,297,pm25,2,PM2.5,µg/m³,2021-04-01T18:00:00Z,2021-04-30T14:00:00Z
10869,Geelong South,,,2021-04-01,,,,0.00672791519434627,283,no2,7,NO₂,ppm,2021-04-01T18:00:00Z,2021-04-30T14:00:00Z
10869,Geelong South,,,2021-04-01,,,,0.13540636042402826,283,co,8,CO,ppm,2021-04-01T18:00:00Z,2021-04-30T14:00:00Z
10869,Geelong South,,,2021-04-01,,,,0.0003530035335689047,283,so2,9,SO₂,ppm,2021-04-01T18:00:00Z,2021-04-30T14:00:00Z
10869,Geelong South,,,2021-04-01,,,,0.01595522968197877,283,o3,10,O₃,ppm,2021-04-01T18:00:00Z,2021-04-30T14:00:00Z
10869,Geelong South,,,2021-05-01,,,,20.569166666666675,180,pm10,1,PM10,µg/m³,2021-05-01T01:00:00Z,2021-05-31T22:00:00Z
10869,Geelong South,,,2021-05-01,,,,7.171220930232559,172,pm25,2,PM2.5,µg/m³,2021-05-01T01:00:00Z,2021-05-31T22:00:00Z
10869,Geelong South,,,2021-05-01,,,,0.00978823529411763,170,no2,7,NO₂,ppm,2021-05-01T01:00:00Z,2021-05-31T22:00:00Z
10869,Geelong South,,,2021-05-01,,,,0.17811764705882352,170,co,8,CO,ppm,2021-05-01T01:00:00Z,2021-05-31T22:00:00Z
